## Mon Jan 17 15:31:48 2022
## emapper-2.1.6
## /opt/software/eggnog-mapper/2.1.6-foss-2020b/bin/emapper.py -i oyster_mollicutes_mag.faa --output oyster_mollicutes_mag.faa_annotated.tsv --data_dir /data2/shared/eggnog/ -m diamond --cpu 20
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
k141_117546_18	512564.MCRO_0516	1.51e-74	236.0	COG0564@1|root,COG0564@2|Bacteria,3WT1X@544448|Tenericutes	544448|Tenericutes	J	Belongs to the pseudouridine synthase RluA family	rluC	-	5.4.99.24	ko:K06179	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2,S4
k141_117546_19	397291.C804_05405	6.71e-72	226.0	COG1216@1|root,COG1216@2|Bacteria,1TS11@1239|Firmicutes,24BQ6@186801|Clostridia,27JP1@186928|unclassified Lachnospiraceae	186801|Clostridia	S	Glycosyl transferase family 2	-	-	2.4.1.83	ko:K00721	ko00510,ko01100,map00510,map01100	-	R01009	RC00005	ko00000,ko00001,ko01000,ko01003	-	GT2	-	Glycos_transf_2
k141_117546_21	1188240.MYEA_2490	1.97e-212	616.0	COG0272@1|root,COG0272@2|Bacteria,3WSX5@544448|Tenericutes	544448|Tenericutes	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA	ligA	-	6.5.1.2	ko:K01972	ko03030,ko03410,ko03420,ko03430,map03030,map03410,map03420,map03430	-	R00382	RC00005	ko00000,ko00001,ko01000,ko03032,ko03400	-	-	-	BRCT,DNA_ligase_OB,DNA_ligase_ZBD,DNA_ligase_aden,HHH_2,HHH_5
k141_117546_23	1117644.MCANPG14_01258	3.66e-122	369.0	COG0154@1|root,COG0154@2|Bacteria,3WT0C@544448|Tenericutes	544448|Tenericutes	J	amidotransferase, A subunit	gatA	-	6.3.5.6,6.3.5.7	ko:K02433	ko00970,ko01100,map00970,map01100	-	R03905,R04212	RC00010	ko00000,ko00001,ko01000,ko03029	-	-	-	Amidase
k141_117546_24	1117644.MCANPG14_01263	2.05e-125	380.0	COG0064@1|root,COG0064@2|Bacteria,3WSWV@544448|Tenericutes	544448|Tenericutes	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	gatB	-	6.3.5.6,6.3.5.7	ko:K02434	ko00970,ko01100,map00970,map01100	-	R03905,R04212	RC00010	ko00000,ko00001,ko01000,ko03029	-	-	-	GatB_N,GatB_Yqey
k141_117546_25	496833.MBIO_0209	1.03e-46	168.0	COG1295@1|root,COG1295@2|Bacteria,3WSUN@544448|Tenericutes	544448|Tenericutes	S	Virulence factor BrkB	-	-	-	ko:K07058	-	-	-	-	ko00000	-	-	-	Virul_fac_BrkB
k141_117546_26	496833.MBIO_0536	1.14e-101	302.0	COG0528@1|root,COG0528@2|Bacteria,3WSW8@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the reversible phosphorylation of UMP to UDP	pyrH	-	2.7.4.22	ko:K09903	ko00240,ko01100,map00240,map01100	-	R00158	RC00002	ko00000,ko00001,ko01000	-	-	-	AA_kinase
k141_117546_27	289397.MBOVPG45_0051	8.68e-46	155.0	COG0233@1|root,COG0233@2|Bacteria,3WTCV@544448|Tenericutes	544448|Tenericutes	J	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another	frr	-	-	ko:K02838	-	-	-	-	ko00000,ko03012	-	-	-	RRF
k141_117546_28	1276227.SCHRY_v1c03220	1.72e-27	116.0	COG0575@1|root,COG0575@2|Bacteria,3WSYW@544448|Tenericutes	544448|Tenericutes	I	Phosphatidate cytidylyltransferase	cdsA	-	2.7.7.41	ko:K00981	ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070	M00093	R01799	RC00002	ko00000,ko00001,ko00002,ko01000	-	-	-	CTP_transf_1
k141_117546_29	519441.Smon_0991	1.02e-18	89.7	COG0750@1|root,COG0750@2|Bacteria,378E4@32066|Fusobacteria	32066|Fusobacteria	M	RIP metalloprotease RseP	rseP	-	-	ko:K11749	ko02024,ko04112,map02024,map04112	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	PDZ,PDZ_2,Peptidase_M50
k141_117546_30	267748.MMOB0570	0.0	1196.0	COG2176@1|root,COG2176@2|Bacteria,3WSZD@544448|Tenericutes	544448|Tenericutes	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity	polC	-	2.7.7.7	ko:K03763	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_a_NI,DNA_pol3_a_NII,DNA_pol3_alpha,HHH_6,PHP,RNase_T
k141_117546_31	272635.MYPU_4690	2.99e-30	109.0	COG0228@1|root,COG0228@2|Bacteria,3WTVG@544448|Tenericutes	544448|Tenericutes	J	Belongs to the bacterial ribosomal protein bS16 family	rpsP	-	-	ko:K02959	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_S16
k141_117546_32	272635.MYPU_4680	3.79e-103	304.0	COG0336@1|root,COG0336@2|Bacteria,3WT2M@544448|Tenericutes	544448|Tenericutes	J	Belongs to the RNA methyltransferase TrmD family	trmD	-	2.1.1.228	ko:K00554	-	-	R00597	RC00003,RC00334	ko00000,ko01000,ko03016	-	-	-	tRNA_m1G_MT
k141_117546_33	496833.MBIO_0147	8.41e-51	163.0	COG0335@1|root,COG0335@2|Bacteria,3WTJW@544448|Tenericutes	544448|Tenericutes	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site	rplS	-	-	ko:K02884	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L19
k141_117546_35	267748.MMOB5270	1.81e-184	528.0	COG0541@1|root,COG0541@2|Bacteria,3WT21@544448|Tenericutes	544448|Tenericutes	U	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	ffh	-	3.6.5.4	ko:K03106	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko01000,ko02044	3.A.5.1,3.A.5.2,3.A.5.7,3.A.5.8,3.A.5.9	-	-	SRP54,SRP54_N,SRP_SPB
k141_117546_37	272635.MYPU_3060	1.3e-78	246.0	COG1161@1|root,COG1161@2|Bacteria,3WSWF@544448|Tenericutes	544448|Tenericutes	S	Required for a late step of 50S ribosomal subunit assembly. Has GTPase activity	rbgA	-	-	ko:K14540	-	-	-	-	ko00000,ko03009	-	-	-	MMR_HSR1
k141_117546_38	512564.MCRO_0550	7.28e-271	761.0	COG0445@1|root,COG0445@2|Bacteria,3WSX0@544448|Tenericutes	544448|Tenericutes	D	NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34	gidA	-	-	ko:K03495	-	-	R08701	RC00053,RC00209,RC00870	ko00000,ko03016,ko03036	-	-	-	GIDA,GIDA_assoc
k141_117546_39	267748.MMOB1550	2.65e-57	182.0	COG1576@1|root,COG1576@2|Bacteria,3WTKM@544448|Tenericutes	544448|Tenericutes	J	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA	rlmH	-	2.1.1.177	ko:K00783	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	SPOUT_MTase
k141_117546_40	243272.MARTH_orf017	1.18e-38	145.0	COG4720@1|root,COG4720@2|Bacteria,3WV3M@544448|Tenericutes	544448|Tenericutes	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	ECF-ribofla_trS
k141_117546_41	496833.MBIO_0785	7.53e-112	340.0	COG0215@1|root,COG0215@2|Bacteria,3WSVT@544448|Tenericutes	544448|Tenericutes	J	Cysteinyl-tRNA synthetase	cysS	-	6.1.1.16	ko:K01883	ko00970,map00970	M00359,M00360	R03650	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	DALR_2,tRNA-synt_1e,tRNA-synt_1g
k141_117546_42	289397.MBOVPG45_0042	1.33e-69	219.0	COG0566@1|root,COG0566@2|Bacteria,3WT88@544448|Tenericutes	544448|Tenericutes	J	Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family	spoU	-	2.1.1.185	ko:K03218	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	SpoU_methylase,SpoU_sub_bind
k141_117546_43	1118964.MOS_271	2.84e-05	48.1	29ZST@1|root,30MTT@2|Bacteria,3WTRB@544448|Tenericutes	544448|Tenericutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
k141_123415_5	1188233.MAU_3220	1.61e-34	121.0	COG0051@1|root,COG0051@2|Bacteria,3WTQ5@544448|Tenericutes	544448|Tenericutes	J	Involved in the binding of tRNA to the ribosomes	rpsJ	-	-	ko:K02946	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S10
k141_123415_6	1117644.MCANPG14_03225	1.16e-112	334.0	COG0087@1|root,COG0087@2|Bacteria,3WT04@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	rplC	-	-	ko:K02906	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L3
k141_123415_7	1037410.MCSF7_00301	1.72e-59	196.0	COG0088@1|root,COG0088@2|Bacteria,3WT7J@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome	rplD	-	-	ko:K02926	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L4
k141_123415_8	743966.MYB_01675	2.51e-27	108.0	COG0089@1|root,COG0089@2|Bacteria,3WTSC@544448|Tenericutes	544448|Tenericutes	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	rplW	-	-	ko:K02892	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L23
k141_123415_9	1188239.MOVI_2100	4.57e-149	425.0	COG0090@1|root,COG0090@2|Bacteria,3WT20@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	rplB	-	-	ko:K02886	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L2,Ribosomal_L2_C
k141_123415_10	1246955.MCYN_0180	7.02e-52	164.0	COG0185@1|root,COG0185@2|Bacteria,3WTPD@544448|Tenericutes	544448|Tenericutes	J	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA	rpsS	-	-	ko:K02965	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S19
k141_123415_11	45361.MCJ_001360	1.94e-40	137.0	COG0091@1|root,COG0091@2|Bacteria,3WTMG@544448|Tenericutes	544448|Tenericutes	J	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome	rplV	-	-	ko:K02890	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L22
k141_123415_12	267748.MMOB2410	8.75e-100	296.0	COG0092@1|root,COG0092@2|Bacteria,3WT4R@544448|Tenericutes	544448|Tenericutes	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation	rpsC	-	-	ko:K02982	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KH_2,Ribosomal_S3_C
k141_123415_13	45361.MCJ_001380	3.38e-59	186.0	COG0197@1|root,COG0197@2|Bacteria,3WTGA@544448|Tenericutes	544448|Tenericutes	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs	rplP	-	-	ko:K02878	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L16
k141_123415_14	272635.MYPU_5790	1.52e-15	70.9	COG0255@1|root,COG0255@2|Bacteria,3WTX6@544448|Tenericutes	544448|Tenericutes	J	Belongs to the universal ribosomal protein uL29 family	rpmC	-	-	ko:K02904	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L29
k141_123415_15	272635.MYPU_5780	2.78e-31	112.0	COG0186@1|root,COG0186@2|Bacteria,3WTW8@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	rpsQ	-	-	ko:K02961	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S17
k141_123415_16	272635.MYPU_5770	5.06e-59	184.0	COG0093@1|root,COG0093@2|Bacteria,3WTN8@544448|Tenericutes	544448|Tenericutes	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	-	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
k141_123415_17	1167632.AJTR01000007_gene819	9.67e-28	104.0	COG0198@1|root,COG0198@2|Bacteria,1V9ZQ@1239|Firmicutes,4HKH9@91061|Bacilli,4GZ3Q@90964|Staphylococcaceae	91061|Bacilli	J	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit	rplX	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02895	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KOW,ribosomal_L24
k141_123415_18	272635.MYPU_5750	1.84e-82	248.0	COG0094@1|root,COG0094@2|Bacteria,3WT4K@544448|Tenericutes	544448|Tenericutes	J	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits	rplE	-	-	ko:K02931	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L5,Ribosomal_L5_C
k141_123415_19	1048830.GUU_01312	1.25e-29	105.0	COG0199@1|root,COG0199@2|Bacteria,3WTWI@544448|Tenericutes	544448|Tenericutes	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site	rpsN	-	-	ko:K02954	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S14
k141_123415_20	272635.MYPU_5730	2.44e-57	181.0	COG0096@1|root,COG0096@2|Bacteria,3WTD8@544448|Tenericutes	544448|Tenericutes	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit	rpsH	-	-	ko:K02994	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S8
k141_123415_21	267748.MMOB2500	1.73e-70	218.0	COG0097@1|root,COG0097@2|Bacteria,3WT1B@544448|Tenericutes	544448|Tenericutes	J	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center	rplF	-	-	ko:K02933	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L6
k141_123415_22	1034808.GIG_01690	1.8e-35	124.0	COG0256@1|root,COG0256@2|Bacteria,3WTJJ@544448|Tenericutes	544448|Tenericutes	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance	rplR	-	-	ko:K02881	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L18p
k141_123415_23	272635.MYPU_5700	3.26e-64	207.0	COG0098@1|root,COG0098@2|Bacteria,3WTIC@544448|Tenericutes	544448|Tenericutes	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body	rpsE	-	-	ko:K02988	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S5,Ribosomal_S5_C
k141_123415_24	1329516.JPST01000015_gene700	3.69e-40	139.0	COG0200@1|root,COG0200@2|Bacteria,1V3KE@1239|Firmicutes,4HFPW@91061|Bacilli,27BV5@186824|Thermoactinomycetaceae	91061|Bacilli	J	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	rplO	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02876	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L27A
k141_123415_25	272635.MYPU_5680	1.29e-114	352.0	COG0201@1|root,COG0201@2|Bacteria,3WSZH@544448|Tenericutes	544448|Tenericutes	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently	secY	-	-	ko:K03076	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5	-	-	SecY
k141_123415_26	1246955.MCYN_0050	1.3e-67	213.0	COG0563@1|root,COG0563@2|Bacteria,3WTJR@544448|Tenericutes	544448|Tenericutes	F	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	adk	-	2.7.4.3	ko:K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	R00127,R01547,R11319	RC00002	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ADK,ADK_lid
k141_123415_27	1034808.GIG_01660	1.19e-94	285.0	COG0024@1|root,COG0024@2|Bacteria,3WT36@544448|Tenericutes	544448|Tenericutes	E	Methionine aminopeptidase	map	-	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
k141_123415_28	747682.MALL_0332	4.79e-29	105.0	COG0361@1|root,COG0361@2|Bacteria,3WTVD@544448|Tenericutes	544448|Tenericutes	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	-	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
k141_123415_29	1410676.JNKL01000003_gene518	4.12e-16	70.1	COG0257@1|root,COG0257@2|Bacteria,1NGEI@1224|Proteobacteria,1SGC9@1236|Gammaproteobacteria	1236|Gammaproteobacteria	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
k141_123415_30	267748.MMOB2590	1.39e-56	178.0	COG0099@1|root,COG0099@2|Bacteria,3WTJ4@544448|Tenericutes	544448|Tenericutes	J	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits	rpsM	-	-	ko:K02952	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S13
k141_123415_31	1118964.MOS_424	7.34e-54	172.0	COG0100@1|root,COG0100@2|Bacteria,3WTM3@544448|Tenericutes	544448|Tenericutes	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome	rpsK	-	-	ko:K02948	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S11
k141_123415_32	262719.MHJ_0164	1.56e-89	278.0	COG0202@1|root,COG0202@2|Bacteria,3WT0P@544448|Tenericutes	544448|Tenericutes	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoA	-	2.7.7.6	ko:K03040	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L
k141_123415_33	272635.MYPU_5600	5.25e-38	131.0	COG0203@1|root,COG0203@2|Bacteria,3WTH7@544448|Tenericutes	544448|Tenericutes	J	Ribosomal protein L17	rplQ	-	-	ko:K02879	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L17
k141_123415_35	768486.EHR_14355	1.78e-07	62.8	COG3469@1|root,COG3979@1|root,COG3469@2|Bacteria,COG3979@2|Bacteria,1VS8U@1239|Firmicutes,4I82H@91061|Bacilli,4B26P@81852|Enterococcaceae	91061|Bacilli	G	Chitin-binding domain type 3	-	-	3.2.1.14	ko:K01183	ko00520,ko01100,map00520,map01100	-	R01206,R02334	RC00467	ko00000,ko00001,ko01000	-	GH18	-	CBM_5_12,fn3
k141_123995_1	1118964.MOS_737	2.14e-30	124.0	COG1173@1|root,COG1173@2|Bacteria,3WSXB@544448|Tenericutes	544448|Tenericutes	P	permease	oppC-2	-	-	ko:K02034,ko:K15582	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	BPD_transp_1,OppC_N
k141_123995_2	743966.MYB_00465	1.43e-71	233.0	COG0601@1|root,COG0601@2|Bacteria,3WSVD@544448|Tenericutes	544448|Tenericutes	P	abc transporter permease protein	oppB	-	-	ko:K02033,ko:K15581	ko01501,ko02010,ko02024,map01501,map02010,map02024	M00239,M00439	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25	-	-	BPD_transp_1
k141_123995_3	1188234.MALK_1600	3.59e-17	95.9	29ZG3@1|root,30MFQ@2|Bacteria,3WT2N@544448|Tenericutes	544448|Tenericutes	-	-	oppA	-	-	-	-	-	-	-	-	-	-	-	-
k141_123995_4	496833.MBIO_0225	5.42e-55	175.0	COG0103@1|root,COG0103@2|Bacteria,3WTKX@544448|Tenericutes	544448|Tenericutes	J	Belongs to the universal ribosomal protein uS9 family	rpsI	-	-	ko:K02996	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S9
k141_123995_5	272635.MYPU_4950	2.5e-74	225.0	COG0102@1|root,COG0102@2|Bacteria,3WTDG@544448|Tenericutes	544448|Tenericutes	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly	rplM	-	-	ko:K02871	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L13
k141_123995_6	552396.HMPREF0863_02818	7.85e-37	138.0	COG1387@1|root,COG1387@2|Bacteria,1TQQX@1239|Firmicutes,3VP5T@526524|Erysipelotrichia	526524|Erysipelotrichia	E	Psort location Cytoplasmic, score 8.87	-	-	-	-	-	-	-	-	-	-	-	-	PHP
k141_123995_7	1318617.MGM1_3380	1.8e-37	138.0	COG0101@1|root,COG0101@2|Bacteria,3WTMP@544448|Tenericutes	544448|Tenericutes	J	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs	truA	-	5.4.99.12	ko:K06173	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	PseudoU_synth_1
k141_123995_8	272635.MYPU_5420	6.57e-67	212.0	COG1385@1|root,COG1385@2|Bacteria,3WTHC@544448|Tenericutes	544448|Tenericutes	J	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	rsmE	-	2.1.1.193	ko:K09761	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Methyltrans_RNA
